You are writing notes for a sports show based on the current week in the Curry Up football league. I have a table containing the names and statistics for football players for the category of rushing for the current week in a league.
Please analyze the dataframe and provide the following information in bullet points:
    Interesting points or trends observed in the category's statistics.
    Top performers in the category.
Include the statistics in your response.
Here is the dataframe:
     rush20PlusYds  rushAtt  rushBrokenTackles  rushFum  rushLongest  rushTDs  rushYds  rushYdsAfterContact  rushYdsPerAtt  rushYdsPerGame               playerName
           0.0      3.0                0.0      0.0          4.0      1.0      4.0                  0.0        1.33333        0.444444             Jordan Mason
           0.0     15.0                3.0      0.0          8.0      1.0     60.0                  3.0        4.00000       36.444400             Tyjae Spears
           1.0     12.0                0.0      0.0         26.0      0.0     51.0                 14.0        4.25000       37.888900               James Cook
           0.0      0.0                1.0      0.0          0.0      0.0      0.0                  0.0        0.00000        0.000000          DeAndre Hopkins
           0.0      1.0                0.0      0.0          0.0      0.0     -3.0                  0.0       -3.00000        1.777780         Quentin Johnston
           0.0      1.0                0.0      0.0          1.0      1.0      1.0                  0.0        1.00000        8.222220         Matthew Stafford
           0.0      0.0                1.0      0.0          0.0      0.0      0.0                  0.0        0.00000        0.000000             Jahan Dotson
           0.0      1.0                0.0      1.0          8.0      1.0      8.0                  0.0        8.00000       11.777800               Drake Maye
           1.0      9.0                2.0      0.0         35.0      0.0     73.0                 12.0        8.11111      106.000000      Christian McCaffrey
           0.0     21.0                1.0      0.0         17.0      1.0    110.0                 41.0        5.23810      106.444000        Travis Etienne Jr
           0.0      2.0                0.0      1.0          0.0      0.0     -2.0                  0.0       -1.00000        2.222220               Jared Goff
           0.0      0.0                1.0      0.0          0.0      0.0      0.0                  0.0        0.00000        1.222220              Jayden Reed
           0.0      0.0                1.0      0.0          0.0      0.0      0.0                  0.0        0.00000        0.000000            Curtis Samuel
           0.0      2.0                0.0      0.0          6.0      0.0      9.0                  5.0        4.50000       20.750000           Isaac Guerendo
           0.0      1.0                0.0      0.0          0.0      0.0      0.0                  0.0        0.00000        3.500000          Trevor Lawrence
           0.0      0.0                2.0      0.0          0.0      0.0      0.0                  0.0        0.00000        0.000000             D.K. Metcalf
           0.0      0.0                1.0      0.0          0.0      0.0      0.0                  0.0        0.00000        0.000000           Michael Wilson
           0.0     26.0                3.0      1.0         11.0      1.0     65.0                 41.0        2.50000       37.333300          Jonathon Brooks
           2.0      7.0                0.0      0.0         39.0      1.0     85.0                 15.0       12.14290       33.555600             J.K. Dobbins
           0.0      3.0                2.0      1.0          9.0      0.0     13.0                  3.0        4.33333        8.625000            Dameon Pierce
           1.0      1.0                0.0      1.0         37.0      0.0     37.0                  0.0       37.00000       13.333300              Brock Purdy
           0.0      0.0                1.0      0.0          0.0      0.0      0.0                  0.0        0.00000        0.000000            Calvin Ridley
           0.0      0.0                0.0      1.0          0.0      0.0      0.0                  0.0        0.00000        0.000000        Wan'Dale Robinson
           0.0      1.0                1.0      0.0          0.0      0.0     -2.0                  0.0       -2.00000        2.111110    Clyde Edwards-Helaire
           0.0      0.0                0.0      1.0          0.0      0.0      0.0                  0.0        0.00000        0.000000           Kendall Hinton
           0.0      0.0                1.0      0.0          0.0      0.0      0.0                  0.0        0.00000        0.000000             Drake London
           1.0      8.0                0.0      4.0         28.0      0.0     61.0                  6.0        7.62500       14.555600            J.J. McCarthy
           0.0     12.0                6.0      0.0         15.0      0.0     63.0                 28.0        5.25000       71.333300                Joe Mixon
           0.0      1.0                1.0      0.0          6.0      0.0      6.0                  1.0        6.00000        0.888889            Brandin Cooks
           0.0      2.0                0.0      0.0          3.0      1.0      4.0                  1.0        2.00000        0.555556            Kyle Juszczyk
           0.0      0.0                1.0      0.0          0.0      0.0      0.0                  0.0        0.00000        0.000000           Kadarius Toney
           0.0     15.0                4.0      0.0         12.0      0.0     38.0                 25.0        2.53333       46.333300           Kyren Williams
           0.0      0.0                2.0      0.0          0.0      0.0      0.0                  0.0        0.00000        0.000000              Josh Oliver
           0.0      0.0                1.0      0.0          0.0      0.0      0.0                  0.0        0.00000        0.000000              Alec Pierce
           0.0     10.0                0.0      0.0          9.0      0.0     29.0                 13.0        2.90000       39.888900          Jonathan Taylor
           0.0      0.0                1.0      0.0          0.0      0.0      0.0                  0.0        0.00000        0.000000           Jordan Addison
           0.0      2.0                0.0      0.0          6.0      1.0      9.0                  2.0        4.50000        2.125000                Ray Davis
           0.0      0.0                2.0      0.0          0.0      0.0      0.0                  0.0        0.00000        0.000000           Devin Duvernay
           0.0      0.0                1.0      0.0          0.0      0.0      0.0                  0.0        0.00000        0.000000            Rondale Moore
           0.0     11.0                1.0      0.0         12.0      0.0     36.0                 14.0        3.27273       43.250000             Tony Pollard
           0.0      1.0                0.0      0.0         11.0      0.0     11.0                  0.0       11.00000       10.125000              C.J. Stroud
           0.0      2.0                0.0      0.0         10.0      0.0     13.0                  1.0        6.50000       13.444400           Justin Herbert
           0.0      8.0                3.0      0.0         15.0      1.0     34.0                  6.0        4.25000       35.444400          Keaton Mitchell
           0.0      0.0                1.0      0.0          0.0      0.0      0.0                  0.0        0.00000        0.000000            Jaylen Waddle
           0.0      0.0                1.0      0.0          0.0      0.0      0.0                  0.0        0.00000        0.222222           Tyler Allgeier
           0.0      0.0                1.0      0.0          0.0      0.0      0.0                  0.0        0.00000        4.888890             Chris Godwin
           0.0      4.0                1.0      0.0         12.0      0.0     14.0                  8.0        3.50000       19.222200            Chuba Hubbard
           0.0      0.0                1.0      0.0          0.0      0.0      0.0                  0.0        0.00000        0.000000            Foster Moreau
           0.0      0.0                1.0      0.0          0.0      0.0      0.0                  0.0        0.00000        0.000000            Luke Musgrave
           0.0      2.0                0.0      1.0          6.0      0.0      1.0                  0.0        0.50000       25.888900       Anthony Richardson
           1.0     17.0                1.0      0.0         39.0      0.0     75.0                 24.0        4.41176      146.667000            De'Von Achane
           0.0      1.0                0.0      0.0         16.0      0.0     16.0                  0.0       16.00000        2.777780         Kenneth Gainwell
